id,link,kod_kawasan,nama_kawasan,negeri
"1","https://www.e-solat.gov.my/index.php?r=esolatApi/takwimsolat&period=year&zone=JHR01","JHR01","Pulau Aur dan Pulau Pemanggil 
","JOHOR"
"2","https://www.e-solat.gov.my/index.php?r=esolatApi/takwimsolat&period=year&zone=JHR02","JHR02","Johor Bahru, Kota Tinggi, Mersing, Kulai
","JOHOR"
"3","https://www.e-solat.gov.my/index.php?r=esolatApi/takwimsolat&period=year&zone=JHR03","JHR03","Kluang, Pontian
","JOHOR"
"4","https://www.e-solat.gov.my/index.php?r=esolatApi/takwimsolat&period=year&zone=JHR04","JHR04","Batu Pahat, Muar, Segamat, Gemas Johor, Tangkak
","JOHOR"
"5","https://www.e-solat.gov.my/index.php?r=esolatApi/takwimsolat&period=year&zone=KDH01","KDH01","Kota Setar, Kubang Pasu, Pokok Sena (Daerah Kecil)
","KEDAH"
"6","https://www.e-solat.gov.my/index.php?r=esolatApi/takwimsolat&period=year&zone=KDH02","KDH02","Kuala Muda, Yan, Pendang
","KEDAH"
"7","https://www.e-solat.gov.my/index.php?r=esolatApi/takwimsolat&period=year&zone=KDH03","KDH03","Padang Terap, Sik
","KEDAH"
"8","https://www.e-solat.gov.my/index.php?r=esolatApi/takwimsolat&period=year&zone=KDH04","KDH04","Baling
","KEDAH"
"9","https://www.e-solat.gov.my/index.php?r=esolatApi/takwimsolat&period=year&zone=KDH05","KDH05","Bandar Baharu, Kulim
","KEDAH"
"10","https://www.e-solat.gov.my/index.php?r=esolatApi/takwimsolat&period=year&zone=KDH06","KDH06","Langkawi
","KEDAH"
"11","https://www.e-solat.gov.my/index.php?r=esolatApi/takwimsolat&period=year&zone=KDH07","KDH07","Puncak Gunung Jerai
","KEDAH"
"12","https://www.e-solat.gov.my/index.php?r=esolatApi/takwimsolat&period=year&zone=KTN01","KTN01","Bachok, Kota Bharu, Machang, Pasir Mas, Pasir Puteh, Tanah Merah, Tumpat, Kuala Krai, Mukim Chiku
","KELANTAN"
"13","https://www.e-solat.gov.my/index.php?r=esolatApi/takwimsolat&period=year&zone=KTN02","KTN02","Gua Musang (Daerah Galas Dan Bertam), Jeli, Jajahan Kecil Lojing
","KELANTAN"
"14","https://www.e-solat.gov.my/index.php?r=esolatApi/takwimsolat&period=year&zone=MLK01","MLK01","SELURUH NEGERI MELAKA
","MELAKA"
"15","https://www.e-solat.gov.my/index.php?r=esolatApi/takwimsolat&period=year&zone=NGS01","NGS01","Tampin, Jempol
","NEGERI SEMBILAN"
"16","https://www.e-solat.gov.my/index.php?r=esolatApi/takwimsolat&period=year&zone=NGS02","NGS02","Jelebu, Kuala Pilah, Rembau
","NEGERI SEMBILAN"
"17","https://www.e-solat.gov.my/index.php?r=esolatApi/takwimsolat&period=year&zone=NGS03","NGS03","Port Dickson, Seremban
","NEGERI SEMBILAN"
"18","https://www.e-solat.gov.my/index.php?r=esolatApi/takwimsolat&period=year&zone=PHG01","PHG01","Pulau Tioman
","PAHANG"
"19","https://www.e-solat.gov.my/index.php?r=esolatApi/takwimsolat&period=year&zone=PHG02","PHG02","Kuantan, Pekan, Rompin, Muadzam Shah
","PAHANG"
"20","https://www.e-solat.gov.my/index.php?r=esolatApi/takwimsolat&period=year&zone=PHG03","PHG03","Jerantut, Temerloh, Maran, Bera, Chenor, Jengka
","PAHANG"
"21","https://www.e-solat.gov.my/index.php?r=esolatApi/takwimsolat&period=year&zone=PHG04","PHG04","Bentong, Lipis, Raub
","PAHANG"
"22","https://www.e-solat.gov.my/index.php?r=esolatApi/takwimsolat&period=year&zone=PHG05","PHG05","Genting Sempah, Janda Baik, Bukit Tinggi
","PAHANG"
